country_ioc,continent,language
JPN,Asia,ja
RUS,Europe,ru
FRA,Europe,fr
AUS,Oceania,en
CAN,America,en
BUL,Europe,bg
GBR,Europe,en
SRB,Europe,sr
USA,America,en
ESP,Europe,es
CZE,Europe,cs
ITA,Europe,it
GEO,Europe,ka
SUI,Europe,de
HUN,Europe,hu
CHI,America,es
LTU,Europe,lt
ARG,America,es
GER,Europe,de
RSA,Africa,zu
CRO,Europe,hr
BEL,Europe,nl
TUN,Africa,ar
LAT,Europe,lv
BLR,Europe,be
IND,Asia,en
POR,Europe,pt
NZL,Oceania,en
GRE,Europe,el
SVK,Europe,sk
AUT,Europe,de
KOR,Asia,ko
ROU,Europe,ro
MDA,Europe,ro
URU,America,es
NED,Europe,nl
SLO,Europe,sl
CYP,Europe,el
KAZ,Asia,kk
TPE,Asia,zh
UZB,Asia,uz
BIH,Europe,bs
UKR,Europe,uk
POL,Europe,pl
NOR,Europe,no
BOL,America,es
BRA,America,pt
COL,America,es
SWE,Europe,sv
TUR,Europe,tr
CHN,Asia,zh
BAR,America,en
DOM,America,es
ECU,America,es
FIN,Europe,fi
GUA,America,es
MEX,America,es
PER,America,es
ESA,America,es
INA,Asia,id
THA,Asia,th
PHI,Asia,tl
DEN,Europe,da
EGY,Africa,ar
ALG,Africa,ar
ZIM,Africa,en
LUX,Europe,lb
PAK,Asia,ur
ISR,Asia,he
EST,Europe,et
MAR,Africa,ar
HKG,Asia,zh
IRL,Europe,en
LIB,Africa,ar
SRI,Asia,si
VEN,America,es
MNE,Europe,sr
PAR,America,es
PNG,Oceania,en
SIN,Asia,cm
LIE,Europe,de
GRN,Europe,en
BAH,America,en
CUB,America,es
TRI,America,en
OMA,Africa,ar
MLT,Europe,mt
MKD,Europe,mk
KGZ,Asia,ky
MAS,Asia,ms
BDI,Africa,fr
MRI,Africa,en
PUR,America,en
SAM,Oceania,sm
KEN,Africa,en
ARM,Asia,hy
NAM,Africa,en
REU,Africa,fr
UNK,Europe,sq
MON,Europe,fr
HAI,America,ht
VIE,Europe,vi
HON,America,es
PAN,America,es
CRC,America,es
SGP,Asia,cm
TJK,Asia,tg
POC,Oceania,ms
IRI,Asia,fa
PHL,Asia,tl
MGL,Asia,mn
GUM,Oceania,en
GAB,Africa,fr
NGR,Africa,en
GUD,America,fr
CAM,Asia,km
CMR,Africa,en
KUW,Asia,ar
MAD,Africa,fr
AND,Europe,ca
DEU,Europe,de
NLD,Europe,nl
NGA,Africa,en
GRC,Europe,el
